Департамент;Тип процесса;ИИ-инструмент;Дата начала;Дата  планируемого оконания;Дата фактического окончания
Казначейство;Обеспечивающий;Чат-бот;14.01.2027;24.03.2027;
Казначейство;Обеспечивающий;Decision Making ;11.09.2024;01.10.2024;07.09.2024
Казначейство;Обеспечивающий;OCR;20.08.2025;12.11.2025;
Казначейство;Обеспечивающий;Семантический поиск;03.02.2026;27.04.2026;
Казначейство;Обеспечивающий;Анализ на соответствие ЛПА;12.09.2026;02.12.2026;
Казначейство;Обеспечивающий;Транскрибация;03.02.2024;04.03.2024;14.03.2024
Казначейство;Обеспечивающий;Document Generation;14.05.2025;23.07.2025;
Департамент стратегического управления;Обеспечивающий;Чат-бот;13.05.2026;20.06.2026;
Департамент стратегического управления;Обеспечивающий;Decision Making ;15.07.2025;17.08.2025;
Департамент стратегического управления;Обеспечивающий;OCR;17.12.2027;13.02.2028;
Департамент стратегического управления;Обеспечивающий;Семантический поиск;08.05.2026;09.06.2026;
Департамент стратегического управления;Обеспечивающий;Анализ на соответствие ЛПА;10.10.2024;18.11.2024;01.12.2024
Департамент стратегического управления;Обеспечивающий;Анализ на ключевые слова;11.12.2026;30.01.2027;
Департамент стратегического управления;Обеспечивающий;Сбор информации из Интернета;29.01.2024;14.03.2024;07.03.2024
Департамент стратегического управления;Обеспечивающий;Document Generation;01.05.2027;08.07.2027;
Казначейство;Управляющий;Соритировка и создание атрибутов;07.01.2027;15.02.2027;
Казначейство;Управляющий;Анализ на ключевые слова;15.02.2027;26.03.2027;
Казначейство;Управляющий;Сбор информации из Интернета;20.11.2025;17.02.2026;
Казначейство;Управляющий;Перевод (инностранные языки);23.04.2026;12.06.2026;
Департамент управления розничным бизнесом;Основной;Чат-бот;22.04.2024;18.07.2024;30.06.2024
Департамент управления розничным бизнесом;Основной;Семантический поиск;28.12.2025;19.01.2026;
Департамент управления розничным бизнесом;Основной;Анализ на ключевые слова;20.10.2024;29.11.2024;26.11.2024
Департамент управления розничным бизнесом;Основной;Транскрибация;24.09.2027;22.10.2027;
Департамент управления розничным бизнесом;Основной;Голосовой робот;23.07.2024;26.08.2024;26.09.2024
Департамент управления розничным бизнесом;Основной;OCR;18.01.2027;21.03.2027;
Департамент управления розничным бизнесом;Основной;Анализ на соответствие ЛПА;30.01.2027;04.04.2027;
Департамент управления розничным бизнесом;Основной;Детекция, трекинг физических объектов;07.01.2024;04.04.2024;15.03.2024
Департамент управления розничным бизнесом;Основной;Суфлер;11.11.2027;19.12.2027;
Департамент управления розничным бизнесом;Основной;Document Generation;21.04.2024;19.06.2024;10.06.2024
Служба управления обращениями клиентов;Основной;OCR;17.02.2026;03.05.2026;
Служба управления обращениями клиентов;Основной;Соритировка и создание атрибутов;22.08.2025;25.10.2025;
Служба управления обращениями клиентов;Основной;Семантический поиск;11.12.2027;27.01.2028;
Служба управления обращениями клиентов;Основной;Анализ на ключевые слова;17.07.2024;29.09.2024;14.09.2024
Служба управления обращениями клиентов;Основной;Чат-бот;13.01.2026;29.03.2026;
Служба управления обращениями клиентов;Основной;Анализ на соответствие ЛПА;23.01.2027;21.04.2027;
Служба управления обращениями клиентов;Основной;Document Generation;20.03.2025;03.05.2025;
Департамент маркетинга;Основной;Семантический поиск;20.11.2024;30.01.2025;26.01.2025
Департамент маркетинга;Основной;Анализ на ключевые слова;20.07.2026;24.08.2026;
Департамент маркетинга;Основной;Сбор информации из Интернета;09.02.2025;10.05.2025;
Департамент маркетинга;Основной;Decision Making ;09.08.2026;24.10.2026;
Департамент маркетинга;Основной;Document Generation;13.11.2027;10.01.2028;
Департамент управления денежным обращением;Основной;OCR;09.03.2024;10.05.2024;10.06.2024
Департамент управления денежным обращением;Основной;Семантический поиск;31.07.2025;20.10.2025;
Департамент управления денежным обращением;Основной;Анализ на соответствие ЛПА;01.01.2025;31.03.2025;29.03.2025
Департамент управления денежным обращением;Основной;Анализ на ключевые слова;01.11.2024;27.01.2025;22.01.2025
Департамент управления денежным обращением;Основной;Суфлер;07.05.2025;05.07.2025;
Департамент управления розничным бизнесом;Основной;Decision Making ;30.03.2024;13.05.2024;01.06.2024
Департамент управления операциями на финансовом рынке;Основной;OCR;04.06.2025;26.08.2025;
Департамент управления операциями на финансовом рынке;Основной;Семантический поиск;28.03.2025;25.04.2025;
Департамент управления операциями на финансовом рынке;Основной;Анализ на соответствие ЛПА;20.11.2027;26.12.2027;
Департамент управления операциями на финансовом рынке;Основной;Анализ на ключевые слова;05.09.2026;03.11.2026;
Департамент управления операциями на финансовом рынке;Основной;Суфлер;21.07.2027;10.08.2027;
Департамент контроля операций;Основной;Decision Making ;10.12.2025;26.02.2026;
Департамент контроля операций;Основной;OCR;08.06.2027;28.06.2027;
Департамент контроля операций;Основной;Семантический поиск;17.05.2024;13.07.2024;13.07.2024
Департамент контроля операций;Основной;Анализ на соответствие ЛПА;10.01.2026;24.02.2026;
Департамент контроля операций;Основной;Анализ на ключевые слова;31.12.2025;05.02.2026;
Департамент управления корпоративным бизнесом;Основной;Decision Making ;27.08.2026;25.09.2026;
Департамент управления корпоративным бизнесом;Основной;Соритировка и создание атрибутов;18.04.2024;03.06.2024;20.05.2024
Департамент управления корпоративным бизнесом;Основной;Семантический поиск;20.12.2025;15.03.2026;
Департамент управления корпоративным бизнесом;Основной;Анализ на ключевые слова;08.09.2027;24.10.2027;
Департамент управления корпоративным бизнесом;Основной;Сбор информации из Интернета;29.07.2026;22.08.2026;
Департамент управления корпоративным бизнесом;Основной;Создание презентаций ;05.06.2025;01.07.2025;
Департамент управления корпоративным бизнесом;Основной;Чат-бот;30.11.2026;18.01.2027;
Департамент управления региональным/отраслевым бизнесом;Основной;Decision Making ;27.05.2024;11.08.2024;10.09.2024
Департамент управления региональным/отраслевым бизнесом;Основной;Соритировка и создание атрибутов;09.06.2025;31.08.2025;
Департамент управления региональным/отраслевым бизнесом;Основной;Семантический поиск;24.11.2025;25.01.2026;
Департамент управления региональным/отраслевым бизнесом;Основной;Анализ на ключевые слова;28.12.2024;08.02.2025;02.03.2025
Департамент управления региональным/отраслевым бизнесом;Основной;Сбор информации из Интернета;20.06.2025;23.08.2025;
Департамент управления региональным/отраслевым бизнесом;Основной;Создание презентаций ;04.04.2024;06.05.2024;06.06.2024
Департамент управления региональным/отраслевым бизнесом;Основной;Чат-бот;27.08.2024;07.11.2024;30.11.2024
Департамент управления розничным бизнесом;Основной;Сбор информации из Интернета;22.06.2027;07.08.2027;
Центр управления внутренними продуктами;Основной;Чат-бот;12.04.2026;04.05.2026;
Центр управления внутренними продуктами;Основной;Семантический поиск;22.06.2026;30.07.2026;
Центр управления внутренними продуктами;Основной;Анализ на ключевые слова;04.03.2024;13.04.2024;09.05.2024
Центр управления внутренними продуктами;Основной;Транскрибация;21.02.2026;17.03.2026;
Центр управления внутренними продуктами;Основной;Голосовой робот;27.09.2026;23.12.2026;
Служба управления обращениями клиентов;Основной;Детекция, трекинг физических объектов;28.02.2024;16.05.2024;25.04.2024
Служба управления обращениями клиентов;Основной;Суфлер;05.06.2026;26.06.2026;
Служба управления обращениями клиентов;Основной;Транскрибация;13.12.2026;28.01.2027;
Служба управления обращениями клиентов;Основной;Голосовой робот;11.09.2024;10.12.2024;17.11.2024
Центр управления внутренними продуктами;Основной;OCR;10.10.2025;06.01.2026;
Центр управления внутренними продуктами;Основной;Анализ на соответствие ЛПА;17.01.2025;17.02.2025;16.03.2025
Центр управления внутренними продуктами;Основной;Детекция, трекинг физических объектов;24.07.2026;02.09.2026;
Центр управления внутренними продуктами;Основной;Суфлер;10.05.2025;18.07.2025;
Центр управления внутренними продуктами;Основной;Document Generation;05.08.2024;09.09.2024;11.10.2024
Центр управления внутренними продуктами;Основной;Decision Making ;09.04.2024;11.06.2024;12.06.2024
Центр управления внутренними продуктами;Основной;Соритировка и создание атрибутов;03.12.2025;05.01.2026;
Департамент управления денежным обращением;Основной;Чат-бот;03.11.2025;23.01.2026;
Департамент управления операциями на финансовом рынке;Основной;Чат-бот;29.01.2026;28.02.2026;
Департамент управления корпоративным бизнесом;Основной;Анализ на соответствие ЛПА;06.08.2024;23.09.2024;05.10.2024
Департамент управления корпоративным бизнесом;Основной;Суфлер;30.08.2026;09.10.2026;
Департамент управления корпоративным бизнесом;Основной;Транскрибация;02.05.2026;23.06.2026;
Департамент управления корпоративным бизнесом;Основной;Голосовой робот;30.12.2024;26.03.2025;27.04.2025
Департамент управления региональным/отраслевым бизнесом;Основной;Анализ на соответствие ЛПА;23.08.2027;29.10.2027;
Департамент управления региональным/отраслевым бизнесом;Основной;Суфлер;17.02.2024;22.04.2024;28.04.2024
Департамент управления операциями на финансовом рынке;Основной;Decision Making ;18.08.2025;26.09.2025;
Департамент управления операциями на финансовом рынке;Основной;Document Generation;31.10.2027;11.12.2027;
Департамент управления операциями на финансовом рынке;Основной;Сбор информации из Интернета;03.12.2026;03.01.2027;
Департамент управления региональным/отраслевым бизнесом;Основной;OCR;12.12.2025;10.03.2026;
Департамент управления региональным/отраслевым бизнесом;Основной;Document Generation;13.03.2026;25.04.2026;
Департамент управления операциями на финансовом рынке;Основной;Транскрибация;07.06.2026;29.06.2026;
HR-департамент;Обеспечивающий;Чат-бот;24.04.2027;12.06.2027;
HR-департамент;Обеспечивающий;Транскрибация;10.04.2024;08.05.2024;14.05.2024
HR-департамент;Обеспечивающий;Document Generation;24.01.2026;15.03.2026;
HR-департамент;Обеспечивающий;Decision Making ;19.02.2026;26.04.2026;
HR-департамент;Обеспечивающий;Анализ на ключевые слова;25.06.2025;02.08.2025;
HR-департамент;Обеспечивающий;Сбор информации из Интернета;11.01.2025;17.03.2025;16.02.2025
HR-департамент;Обеспечивающий;OCR;30.08.2026;15.10.2026;
HR-департамент;Обеспечивающий;Семантический поиск;30.04.2024;28.07.2024;28.06.2024
HR-департамент;Обеспечивающий;Анализ на соответствие ЛПА;08.08.2026;11.09.2026;
Департамент маркетинга;Обеспечивающий;Чат-бот;05.12.2024;04.02.2025;05.01.2025
Департамент маркетинга;Обеспечивающий;OCR;27.09.2027;13.12.2027;
Департамент маркетинга;Обеспечивающий;Анализ на соответствие ЛПА;08.08.2027;31.08.2027;
Служба безопасности;Обеспечивающий;Decision Making ;22.10.2025;22.11.2025;
Служба безопасности;Обеспечивающий;Соритировка и создание атрибутов;25.10.2025;20.11.2025;
Служба безопасности;Обеспечивающий;Семантический поиск;13.04.2024;23.06.2024;01.06.2024
Служба безопасности;Обеспечивающий;Анализ на ключевые слова;02.06.2025;29.06.2025;
Служба безопасности;Обеспечивающий;Сбор информации из Интернета;08.03.2025;26.05.2025;
Департамент обеспечения;Обеспечивающий;Чат-бот;03.11.2026;15.12.2026;
Департамент обеспечения;Обеспечивающий;Decision Making ;29.03.2026;25.06.2026;
Департамент обеспечения;Обеспечивающий;OCR;02.10.2025;07.12.2025;
Департамент обеспечения;Обеспечивающий;Семантический поиск;22.11.2024;05.02.2025;28.01.2025
Департамент обеспечения;Обеспечивающий;Анализ на ключевые слова;17.09.2025;21.10.2025;
Департамент обеспечения;Обеспечивающий;Сбор информации из Интернета;20.12.2025;24.01.2026;
Департамент стратегического управления;Обеспечивающий;Транскрибация;06.07.2027;09.08.2027;
Департамент управления корпоративным бизнесом;Обеспечивающий;OCR;24.05.2026;21.07.2026;
Департамент управления корпоративным бизнесом;Обеспечивающий;Document Generation;27.10.2027;26.12.2027;
Департамент контроля операций;Обеспечивающий;Чат-бот;15.07.2024;04.10.2024;27.09.2024
Департамент контроля операций;Обеспечивающий;Сбор информации из Интернета;12.10.2026;05.01.2027;
Департамент контроля операций;Обеспечивающий;Document Generation;29.11.2024;23.01.2025;29.01.2025
Департамент контроля операций;Обеспечивающий;Транскрибация;11.04.2024;07.05.2024;03.05.2024
Центр обеспечения документооборота;Обеспечивающий;Чат-бот;01.02.2025;08.04.2025;
Центр обеспечения документооборота;Обеспечивающий;Decision Making ;19.09.2025;09.11.2025;
Центр обеспечения документооборота;Обеспечивающий;OCR;13.02.2027;11.04.2027;
Центр обеспечения документооборота;Обеспечивающий;Семантический поиск;24.05.2027;21.08.2027;
Центр обеспечения документооборота;Обеспечивающий;Анализ на соответствие ЛПА;29.05.2026;16.08.2026;
Центр обеспечения документооборота;Обеспечивающий;Анализ на ключевые слова;22.07.2024;08.10.2024;26.09.2024
Центр обеспечения документооборота;Обеспечивающий;Сбор информации из Интернета;09.06.2024;23.08.2024;16.09.2024
Центр обеспечения документооборота;Обеспечивающий;Транскрибация;05.10.2027;27.10.2027;
Центр обеспечения документооборота;Обеспечивающий;Document Generation;22.02.2026;21.04.2026;
Центр обеспечения документооборота;Обеспечивающий;Создание презентаций ;08.08.2027;10.10.2027;
Центр обеспечения документооборота;Обеспечивающий;Генерация медиаконтента;05.02.2025;01.04.2025;13.03.2025
Департамент управления операциями на финансовом рынке;Обеспечивающий;Перевод (инностранные языки);03.09.2025;09.11.2025;
Департамент маркетинга;Обеспечивающий;Создание презентаций ;14.12.2027;04.01.2028;
Департамент маркетинга;Обеспечивающий;Генерация медиаконтента;16.03.2024;05.05.2024;27.04.2024
Департамент маркетинга;Обеспечивающий;Транскрибация;11.04.2027;05.06.2027;
Департамент стратегического управления;Обеспечивающий;Перевод (инностранные языки);17.07.2024;07.09.2024;03.10.2024
Департамент стратегического управления;Обеспечивающий;Генерация медиаконтента;17.11.2024;04.02.2025;23.02.2025
Департамент управления денежным обращением;Обеспечивающий;Decision Making ;07.10.2024;14.12.2024;14.12.2024
Департамент управления денежным обращением;Обеспечивающий;Сбор информации из Интернета;24.03.2025;02.05.2025;
Департамент управления денежным обращением;Обеспечивающий;Document Generation;11.05.2026;21.06.2026;
Департамент управления денежным обращением;Обеспечивающий;Транскрибация;04.07.2025;17.09.2025;
Департамент управления денежным обращением;Обеспечивающий;Детекция, трекинг физических объектов;16.01.2026;04.04.2026;
Департамент управления розничным бизнесом;Обеспечивающий;Генерация медиаконтента;24.09.2026;04.11.2026;
Департамент обеспечения;Обеспечивающий;Анализ на соответствие ЛПА;08.11.2026;19.01.2027;
Департамент обеспечения;Обеспечивающий;Транскрибация;16.02.2025;10.03.2025;12.03.2025
Департамент обеспечения;Обеспечивающий;Document Generation;15.12.2024;25.02.2025;28.03.2025
Департамент бухгалтерского учета;Обеспечивающий;Чат-бот;16.10.2025;07.01.2026;
Департамент бухгалтерского учета;Обеспечивающий;Decision Making ;30.08.2027;09.11.2027;
Департамент бухгалтерского учета;Обеспечивающий;OCR;23.01.2027;17.02.2027;
Департамент бухгалтерского учета;Обеспечивающий;Семантический поиск;23.08.2025;06.11.2025;
Департамент бухгалтерского учета;Обеспечивающий;Анализ на соответствие ЛПА;28.10.2025;01.01.2026;
Департамент бухгалтерского учета;Обеспечивающий;Анализ на ключевые слова;14.07.2025;24.08.2025;
Департамент бухгалтерского учета;Обеспечивающий;Сбор информации из Интернета;06.04.2024;07.06.2024;31.05.2024
Департамент бухгалтерского учета;Обеспечивающий;Транскрибация;10.04.2026;29.06.2026;
Департамент бухгалтерского учета;Обеспечивающий;Document Generation;26.11.2027;20.01.2028;
Департамент управления ИТ;Обеспечивающий;Чат-бот;30.01.2025;03.03.2025;04.04.2025
Департамент управления ИТ;Обеспечивающий;Decision Making ;02.01.2027;13.03.2027;
Департамент управления ИТ;Обеспечивающий;OCR;21.05.2025;11.06.2025;
Департамент управления ИТ;Обеспечивающий;Семантический поиск;22.08.2025;15.11.2025;
Департамент управления ИТ;Обеспечивающий;Анализ на соответствие ЛПА;14.11.2024;17.01.2025;08.01.2025
Департамент управления ИТ;Обеспечивающий;Анализ на ключевые слова;20.11.2025;28.01.2026;
Департамент управления ИТ;Обеспечивающий;Сбор информации из Интернета;09.04.2027;03.05.2027;
Департамент управления ИТ;Обеспечивающий;Транскрибация;16.11.2024;25.01.2025;07.01.2025
Департамент управления ИТ;Обеспечивающий;Голосовой робот;30.07.2026;02.10.2026;
Департамент управления ИТ;Обеспечивающий;Document Generation;02.04.2025;01.07.2025;
Департамент управления ИТ;Обеспечивающий;Детекция, трекинг физических объектов;19.07.2027;15.10.2027;
Департамент управления ИТ;Обеспечивающий;Соритировка и создание атрибутов;23.09.2027;10.12.2027;
Департамент управления ИТ;Обеспечивающий;Создание презентаций ;09.07.2025;07.09.2025;
